éRÇÃéËê¸ñº,SHINAGAWA,OSAKI,GOTANDA,MEGURO,EBISU,SHIBUYA,HARAJUKU,YOYOGI,SHINJUKU,SHIN_OKUBO,TAKADANOBABA,MEJIRO,IKEBUKURO,OTSUKA,SUGAMO,KOMAGOME,TABATA,NISHI_NIPPORI,NIPPORI,UGUISUDANI,UENO,OKACHIMACHI,AKIHABARA,KANDA,TOKYO,YURAKUCHO,SHIMBASHI,HAMAMATSUCHO,TAMACHI
SHINAGAWA,0,140,140,160,160,170,170,170,200,200,200,200,260,260,260,260,200,200,200,200,200,170,170,170,170,160,160,160,140
OSAKI,140,0,140,140,160,160,170,170,170,170,200,200,200,260,260,260,260,260,200,200,200,200,200,200,170,170,170,160,160
GOTANDA,140,140,0,140,140,160,160,170,170,170,200,200,200,200,260,260,260,260,260,200,200,200,200,200,170,170,170,170,160
MEGURO,160,140,140,0,140,160,160,160,170,170,170,200,200,200,200,200,260,260,260,260,200,200,200,200,200,200,170,170,170
EBISU,160,160,140,140,0,140,140,160,160,170,170,170,170,200,200,200,200,260,260,200,200,200,200,200,200,200,200,170,170
SHIBUYA,170,160,160,160,140,0,140,140,160,160,170,170,170,170,200,200,200,200,200,200,200,200,200,200,200,200,170,200,170
HARAJUKU,170,170,160,160,140,140,0,140,140,160,160,160,170,170,170,200,200,200,200,200,200,200,170,170,200,200,200,200,200
YOYOGI,170,170,170,160,160,140,140,0,140,140,160,160,160,170,170,170,200,200,200,200,170,170,170,310,340,200,200,200,200
SHINJUKU,200,170,170,170,160,160,140,140,0,140,140,160,160,170,170,170,170,200,200,200,200,170,170,170,200,200,200,200,200
SHIN_OKUBO,200,170,170,170,170,160,160,140,140,0,140,140,160,160,170,170,170,170,170,200,200,200,170,200,200,200,200,200,200
TAKADANOBABA,200,200,200,170,170,170,160,160,140,140,0,140,140,160,160,160,170,170,170,170,200,200,200,200,200,200,200,260,260
MEJIRO,200,200,200,200,170,170,160,160,160,140,140,0,140,140,160,160,170,170,170,170,170,200,200,200,200,200,260,260,260
IKEBUKURO,260,200,200,200,170,170,170,160,160,160,140,140,0,140,140,160,160,160,170,170,170,170,200,200,200,200,200,260,260
OTSUKA,260,260,200,200,200,170,170,170,170,160,160,140,140,0,140,140,160,160,160,160,170,170,170,170,200,200,200,200,260
SUGAMO,260,260,260,200,200,200,170,170,170,170,160,160,140,140,0,140,140,160,160,160,160,170,170,170,170,200,200,200,200
KOMAGOME,260,260,260,200,200,200,200,170,170,170,160,160,160,140,140,0,140,140,140,160,160,160,170,170,170,170,200,200,200
TABATA,200,260,260,260,200,200,200,200,170,170,170,170,160,160,140,140,0,140,140,140,160,160,160,160,170,170,170,200,200
NISHI_NIPPORI,200,260,260,260,260,200,200,200,200,170,170,170,160,160,160,140,140,0,140,140,140,160,160,160,170,170,170,170,200
NIPPORI,200,200,260,260,260,200,200,200,200,170,170,170,170,160,160,140,140,140,0,140,140,140,160,160,160,170,170,170,200
UGUISUDANI,140,140,140,160,160,160,170,170,170,200,200,200,260,200,200,200,200,200,200,0,170,170,170,160,160,160,140,140,140
UENO,200,200,200,200,200,200,200,170,200,200,200,170,170,170,160,160,160,140,140,140,0,140,140,140,160,160,160,170,170
OKACHIMACHI,170,200,200,200,200,200,200,170,170,200,200,200,170,170,170,160,160,160,140,140,140,0,140,140,140,160,160,170,170
AKIHABARA,170,200,200,200,200,200,170,170,170,170,200,200,200,170,170,170,160,160,160,140,140,140,0,140,140,140,160,160,170
KANDA,170,200,200,200,200,200,170,170,170,200,200,200,200,170,170,170,160,160,160,160,140,140,140,0,140,140,160,160,160
TOKYO,170,170,170,200,200,200,200,170,200,200,200,200,200,200,170,170,170,170,160,160,160,140,140,140,0,140,140,160,160
YURAKUCHO,160,170,170,200,200,200,200,200,200,200,200,200,200,200,200,170,170,170,170,160,160,160,140,140,140,0,140,140,160
SHIMBASHI,160,170,170,170,200,170,200,200,200,200,200,260,200,200,200,200,170,170,170,170,160,160,160,160,140,140,0,140,140
HAMAMATSUCHO,160,160,170,170,170,200,200,200,200,200,260,260,260,200,200,200,200,170,170,170,170,170,160,160,160,140,140,0,140
TAMACHI,140,160,160,170,170,170,200,200,200,200,260,260,260,260,200,200,200,200,200,170,170,170,170,160,160,160,140,140,0
