éRÇÃéËê¸ñº,SHINAGAWA,OSAKI,GOTANDA,MEGURO,EBISU,SHIBUYA,HARAJUKU,YOYOGI,SHINJUKU,SHIN_OKUBO,TAKADANOBABA,MEJIRO,IKEBUKURO,OTSUKA,SUGAMO,KOMAGOME,TABATA,NISHI_NIPPORI,NIPPORI,UGUISUDANI,UENO,OKACHIMACHI,AKIHABARA,KANDA,TOKYO,YURAKUCHO,SHIMBASHI,HAMAMATSUCHO,TAMACHI
SHINAGAWA,0,133,133,154,154,165,165,165,194,194,194,194,259,259,259,259,194,194,194,194,194,165,165,165,165,154,154,154,133
OSAKI,133,0,133,133,154,154,165,165,165,165,194,194,194,259,259,259,259,259,194,194,194,194,194,194,165,165,165,154,154
GOTANDA,133,133,0,133,133,154,154,165,165,165,194,194,194,194,259,259,259,259,259,194,194,194,194,194,165,165,165,165,154
MEGURO,154,133,133,0,133,154,154,154,165,165,165,194,194,194,194,194,259,259,259,259,194,194,194,194,194,194,165,165,165
EBISU,154,154,133,133,0,133,133,154,154,165,165,165,165,194,194,194,194,259,259,194,194,194,194,194,194,194,194,165,165
SHIBUYA,165,154,154,154,133,0,133,133,154,154,165,165,165,165,194,194,194,194,194,194,194,194,194,194,194,194,165,194,165
HARAJUKU,165,165,154,154,133,133,0,133,133,154,154,154,165,165,165,194,194,194,194,194,194,194,165,165,194,194,194,194,194
YOYOGI,165,165,165,154,154,133,133,0,133,133,154,154,154,165,165,165,194,194,194,194,165,165,165,310,334,194,194,194,194
SHINJUKU,194,165,165,165,154,154,133,133,0,133,133,154,154,165,165,165,165,194,194,194,194,165,165,165,194,194,194,194,194
SHIN_OKUBO,194,165,165,165,165,154,154,133,133,0,133,133,154,154,165,165,165,165,165,194,194,194,165,194,194,194,194,194,194
TAKADANOBABA,194,194,194,165,165,165,154,154,133,133,0,133,133,154,154,154,165,165,165,165,194,194,194,194,194,194,194,259,259
MEJIRO,194,194,194,194,165,165,154,154,154,133,133,0,133,133,154,154,165,165,165,165,165,194,194,194,194,194,259,259,259
IKEBUKURO,259,194,194,194,165,165,165,154,154,154,133,133,0,133,133,154,154,154,165,165,165,165,194,194,194,194,194,259,259
OTSUKA,259,259,194,194,194,165,165,165,165,154,154,133,133,0,133,133,154,154,154,154,165,165,165,165,194,194,194,194,259
SUGAMO,259,259,259,194,194,194,165,165,165,165,154,154,133,133,0,133,133,154,154,154,154,165,165,165,165,194,194,194,194
KOMAGOME,259,259,259,194,194,194,194,165,165,165,154,154,154,133,133,0,133,133,133,154,154,154,165,165,165,165,194,194,194
TABATA,194,259,259,259,194,194,194,194,165,165,165,165,154,154,133,133,0,133,133,133,154,154,154,154,165,165,165,194,194
NISHI_NIPPORI,194,259,259,259,259,194,194,194,194,165,165,165,154,154,154,133,133,0,133,133,133,154,154,154,165,165,165,165,194
NIPPORI,194,194,259,259,259,194,194,194,194,165,165,165,165,154,154,133,133,133,0,133,133,133,154,154,154,165,165,165,194
UGUISUDANI,133,133,133,154,154,154,165,165,165,194,194,194,259,194,194,194,194,194,194,0,165,165,165,154,154,154,133,133,133
UENO,194,194,194,194,194,194,194,165,194,194,194,165,165,165,154,154,154,133,133,133,0,133,133,133,154,154,154,165,165
OKACHIMACHI,165,194,194,194,194,194,194,165,165,194,194,194,165,165,165,154,154,154,133,133,133,0,133,133,133,154,154,165,165
AKIHABARA,165,194,194,194,194,194,165,165,165,165,194,194,194,165,165,165,154,154,154,133,133,133,0,133,133,133,154,154,165
KANDA,165,194,194,194,194,194,165,165,165,194,194,194,194,165,165,165,154,154,154,154,133,133,133,0,133,133,154,154,154
TOKYO,165,165,165,194,194,194,194,165,194,194,194,194,194,194,165,165,165,165,154,154,154,133,133,133,0,133,133,154,154
YURAKUCHO,154,165,165,194,194,194,194,194,194,194,194,194,194,194,194,165,165,165,165,154,154,154,133,133,133,0,133,133,154
SHIMBASHI,154,165,165,165,194,165,194,194,194,194,194,259,194,194,194,194,165,165,165,165,154,154,154,154,133,133,0,133,133
HAMAMATSUCHO,154,154,165,165,165,194,194,194,194,194,259,259,259,194,194,194,194,165,165,165,165,165,154,154,154,133,133,0,133
TAMACHI,133,154,154,165,165,165,194,194,194,194,259,259,259,259,194,194,194,194,194,165,165,165,165,154,154,154,133,133,0
